Dément;De terribles visions qu'aucun mortel ne pourrait supporter vous ont fait perdre la raison.;À chaque fois que vous avez une rencontre, désignez un autre joueur pour choisir votre réaction sur le tableau des réaction.;Vous perdez ce status si vous gagnez une compétence dans une rencontre.
Poursuivi;En raison de votre destin fortuné ou de vos attributs merveilleux, vous avez un ennemi jaloux qui ne demanderait pas mieux que de vous voir pourrir au fond d'un puits.;Lorsque vous obtenez le statut Poursuivi, vous apprenderez également le nom de l'entité qui vous poursuit. (Si aucun nom ne vous est donné, il s'agit de l'entité rencontrée qui mène à votre poursuite.)\n\n Avant chaque prochaine rencontre, lancez 1 dé. Sur un résultat de 1 ou 2, à la  place d'une rencontre normal, vous êtes reconnu par votre Poursuivant. Vous le rencontrez sur la ligne Poursuite du tableau de réactions H.;Votre rencontre avec votre poursuivant vous informera si vous perdez le statut Poursuivi.
Affligé;La tragédie que vous venez de vivre vous a brisé le coeur. Votre chagrin est si grand que vous ne pouvez ni manger ni dormir.;Vous ne pouvez pas utiliser vos compétences de niveau talentueux: celles de niveau magistral ne sont utilisables qu'au niveau talentueux.\n Si vous dépensez 2 Points Destinée et que vous avez Conteur au niveau magistral, vous pouvez faire qu'un autre joueur sur votre case deviene aussi Affligé.;Quand votre total de Points Histoire atteint 8 ou plus.\n Si vous obtenez ce statut alors que vous avez déjà 8 Points Histoire ou plus, vous devez gagner 1 Point Histoire supplémentaire.
Forme Animale;Vous avez été transformé en singe par un être au grand pouvoir. Malgré l'intelligence et la parole que vous avez gardées, il est plutôt difficile de vivre dans le monde des hommes.;Vous ne pouvez pas choisir Courtiser sur le tableau des réactions:si vous devez Courtiser, vous récupérez immédiatement le status Méprisé.\n Vous ne pouvez pas gagner ou utiliser les compétences Séduction et Apparence lorsque vous êtes en Forme Animal.;Si vous donnez un niveau de Fortune à un joueur sur votre case et qu'il a la compétence Magie, vous perdez ce status.\n Si vous recevez le statut Forme Animale alors que vous le possédez déjà, rien ne se passe et vous conservez ce statut.
Invalide;Vous avez recu une terrible et incapacitante blessure. Bien que vous avez gardé toute votre vivacité d'esprit, votre visage déformée par la douleur peut enseigner la sagesse à ceux désireux de l'apprendre.;Vos déplacements sont réduits de 1, sur terre comme en mer.\n Vousne pouvez ni gagner, ni utiliser les compétences Séduction ou Apparence. Dans n'importe quelle rencontre, vos récompenses de Points Histoire sont doublées.;Si vous gagnez Béni ou Respecté, vous perdez ce statut.
Déterminé;Votre âme est résolue et aucun obstacle n'entravera votre trajet tout tracé.;Une fois par rencontre, vous pouvez décider de rejeter le dénoument d'un paragraphe (la récompense).\n\n Si vous faite cela, vous devez retourner au tableau des réactions et choisir une réaction différente.;Il n'y a audcun moyen particulier de perdre ce statu.
Asservi;Par malchance, manque d'argent ou malveillance de la part des autres, vous êtes devenu esclave.;À chaque tour, vous désignez un autre joueur pour être votre <<maître>>.\n Il recupère, à votre place, tous les Points Destinée ou Trésors que vous recevez durant votre tour.;Vous pouvez vous <<racheter votre liberté>> si vous gagnez un niveau de Fortune en étant Asservi (vous ne pouvez pas utiliser de niveau de Fortune gagné avant d'être devenu Asservi).\n\n Vous dépensez simplement le nouveau niveau de Fortune (aucun autre joueur ne le reçoit) et vous perdez ce statut.
Envieux;Ce que vous avez vu vous a rendu fou d'envie et vous ne trouverez pas le repos avant d'avoir obtenu ce que vous convoitez.;Vous ne pouvez pas gagner la partie tant que vous avez ce statut.\n Dans n'importe quelle rencontre, si Voler est possible, vous devez choisir cette réaction.;Vous pouvez payer 3 Points Destinée pour échanger ce statut contre le statut En Pèlerinage.\n\n Autrement, si vous recevez 2 niveaux de Fortune ou un Trésor pendant une rencontre, vous perdez ce statut.
En pèlerinage;Vous avez fait voeu d'entreprendre un pèlerinage qui vous ouvrira les voies de la sagesse d'Allah.;Vous ne pouvez pas gagner la partie lorsque vous êtes En pèlerinage.;Placez votre marqueur Destination sur une cîté à plus de 4 cases de La Mecque. Vous devez entrer et avoir au moins une rencontre dans cette cîté: ensuite, vous devez vous rendre à La Mecque pour y avoir une dernière rencontre.\n\n Après cette dernière rencontre, votre pèlerinage s'achève et vous perdez le statut.\n\n Si vous réussissez votre pèlerinage, vous gagnez 2 Points Destinée et 1 Point Histoire et vous ajoutez également 1 niveau à votre compétence Piété. N'oubliez pas de retirer votre jeton Destination.
Frappé par le Destin;Vous êtes voué à une grande destinée. Votre fortune est déjà écrite et ceux qui savent lire dans les étoiles connaissent votre nom!;Ne lancez pas de dé pour déterminer quelle sera votre rencontre sur les listes du Livre des contes.\n\n Désignez un autre joueur pour décider parmi les 12 choix possibles. Ce joueur peut consulter le Livre des contes avant de choisir.;Si vous gagnez un total combiné d'au moins 4 Points Destinée et/ou Histoire, vous perdez ce statut.
Robe d'Honneur;En signe de l'estime qu'il a pour vous, votre mentor vous fait don d'une robe d'honneur.;Gagnez immédiatement 1 Point Destinée.\n\n Vous obtenez aussi le statut Respecté et la compétence Sagesse.;Il n'y a aucun moyen particulier de perdre ce status.
Méprisé;Vous avez commis - ou on vous a fait commettre - quelques grosses bétises.;Tous vos Points Destinée gagnés après avoir reçu ce statut sont changés en Point Histoire.\n\nVous ne pouvez plus recevoir de compétence ou de niveau de Fortune.;Vous pouvez échanger ce statut contre En pèlerinage en payant 1 Point Destinée.\n\n Si vous n'avez pas de Point Destinée, vous devez immédiatement échanger ce statut pour En pèlerinage.
Sultan;Allah vous a béni avec une très grande fortune et un très grand royaume!;Pour devenir Sultan, vous devez avoir gagné un total combiné d'au moins 12 Points Destinée et Histoire: autrement vous recevez le statut Vizir à la place.;Une fois que vous êtes Sultan, votre fortune passe immédiatement à Fabuleuse.\n\n Lorsque vous vous déplacez, ne comptez que les cases de cité dans votre déplacement (à moins que vous ne terminiez votre déplacement ailleurs que dans une cité).
Marié;La voie nuptiale s'ouvre devant vous. Vous venez de prendre mari/femme.;Gagnez 1 Point Histoire en recevant ce statut. Établissez votre domicile avec votre jeton Origine sur la prochaine cité où vous vous rendez ou celle où vous êtes. Après avoir eu une rencontre dans une autre cité, vous devez retourner à votre domicile avant de pouvoir vous arrêter dans d'autres villes. Chaque fois que vous retournez à la maison, vous gagnez 1 Point Histoire et lancez 2 dés:\n 2: Vous donnez naissance à un enfant dont l'apparence est celle d'un vieux chameau hideaux: vous devenez Affligé. \n 3-7: Aucune conséquence. \n 8-10: Un (autre) enfant!\n Gagnez 1 Point Destinée. \n 11-12: Un (autre) enfant dont le visage ressemble à celui de la pleine lune! Gagnez 2 Points Destinée et devenez Respecté. ;
Amoureux;Vous venez de rencontrer la plus belle femme/homme que vous ayez vu! Vous ne trouverez de repos qu'après avoir courtisé et épousé l'objet de vos désurs.;À votre prochain tour, à la place d'une rencontre normale, lancez un dé:\n 1-3: Rencontrez une Belle Jeune fille / Soldat Élégant (tableau des réactions L).\n 4-6 : Rencontrez une Belle Princesse / Prince Élégant (tableau des réactions A).\n Note: Vous devez choisir l'option Courtiser dans la rencontre.;Defaussez-vous de statut immédiatement après cette rencontre spéciale.\n\n Si vous êtes Marié, vous ne pouvez pas obtenir le status Amoureux. À la place, vous obtenez le statut Aflligé.
Vizir;Vous venez d'obtenir la position exalté de conseiller du sultan: vous contrôlez un grand pouvoir dans le royaume.;Vous recevez 1 Point Destinée et 1 Point Histoire immédiatement. Gagnez un niveau de compétence en Courtoisie et Sagesse.\n Placez votre jeton Origine dans la cité où vous êtes ou celle la plus proche de votre emplacement (choisissez la ville si plusieurs répondent à cette condition).\n À chaque fois que vous avez une rencontre dans une autre cité, vous devez retourner à votre cité d'origine avant de pouvoir vous arrêter dans une autre cité.\n Si à tout moment vous avez Piété et Érution au niveau magistral et que vous avez un total combiné d'au moins 12 Points Destinée et Histoire, vous pouvez échanger le statut Vizir contre le statut Sultan;
